event,date_start,date_end,description
Fall Semester Classes Begin,2025-08-25,2025-08-25,First day of classes for Fall 2025 semester.
Add/Drop Deadline,2025-09-08,2025-09-08,Last day to add or drop courses without penalty.
Labor Day Holiday,2025-09-01,2025-09-01,College closed in observance of Labor Day.
Midterm Exams,2025-10-13,2025-10-20,Midterm examination period. Classes may not meet during this time.
Thanksgiving Break,2025-11-27,2025-12-01,College closed. Classes resume December 2.
Final Exams,2025-12-08,2025-12-18,Final examination period. No classes during this time.
Fall Semester Ends,2025-12-18,2025-12-18,Last day of Fall 2025 semester. Grades posted by December 23.
Winter Break,2025-12-19,2026-01-20,Campus limited operations. Student center open limited hours.
Spring Semester Classes Begin,2026-01-21,2026-01-21,First day of classes for Spring 2026 semester.
Spring Break,2026-03-09,2026-03-16,One week break mid-semester. Classes resume March 17.
Easter Holiday,2026-04-05,2026-04-07,College closed for Easter weekend.
Late Registration,2026-04-15,2026-04-15,Final day to add courses for Spring semester.
Spring Midterm Exams,2026-04-20,2026-04-27,Midterm examination period.
Spring Finals,2026-05-11,2026-05-22,Final exams for Spring 2026.
Graduation Ceremony,2026-05-23,2026-05-23,"Commencement ceremony. Time and location: TBD (typically Sunday, May at 10:00 AM, Quad)"
Spring Semester Ends,2026-05-22,2026-05-22,Last day of Spring 2026 semester. Grades posted by May 27.
Summer Session I,2026-06-01,2026-07-10,First summer session (5-week intensive).
Summer Session II,2026-07-13,2026-08-22,Second summer session (5-week intensive).
